cohort_type,cohort_month,dimension,first_value,m,metric,measure,segment,cohort_size,ltv_per_user
purchase,2024-10-01,overall,ALL,0,any,revenue,all,3,549.33
purchase,2024-10-01,overall,ALL,1,any,revenue,all,3,998.67
purchase,2024-10-01,overall,ALL,2,any,revenue,all,3,1448.0
purchase,2024-10-01,overall,ALL,3,any,revenue,all,3,1897.33
purchase,2024-10-01,overall,ALL,4,any,revenue,all,3,2113.67
purchase,2024-10-01,overall,ALL,5,any,revenue,all,3,2113.67
purchase,2024-10-01,overall,ALL,6,any,revenue,all,3,2113.67
purchase,2024-10-01,overall,ALL,7,any,revenue,all,3,2333.0
purchase,2024-10-01,overall,ALL,8,any,revenue,all,3,2436.0
purchase,2024-10-01,overall,ALL,9,any,revenue,all,3,2539.0
purchase,2024-10-01,overall,ALL,10,any,revenue,all,3,2539.0
purchase,2024-10-01,overall,ALL,11,any,revenue,all,3,2539.0
purchase,2024-10-01,overall,ALL,12,any,revenue,all,3,2539.0
purchase,2024-11-01,overall,ALL,0,any,revenue,all,5,385.4
purchase,2024-11-01,overall,ALL,1,any,revenue,all,5,587.0
purchase,2024-11-01,overall,ALL,2,any,revenue,all,5,648.8
purchase,2024-11-01,overall,ALL,3,any,revenue,all,5,710.6
purchase,2024-11-01,overall,ALL,4,any,revenue,all,5,772.4
purchase,2024-11-01,overall,ALL,5,any,revenue,all,5,834.2
purchase,2024-11-01,overall,ALL,6,any,revenue,all,5,896.0
purchase,2024-11-01,overall,ALL,7,any,revenue,all,5,896.0
purchase,2024-11-01,overall,ALL,8,any,revenue,all,5,957.8
purchase,2024-11-01,overall,ALL,9,any,revenue,all,5,1019.6
purchase,2024-11-01,overall,ALL,10,any,revenue,all,5,1081.4
purchase,2024-11-01,overall,ALL,11,any,revenue,all,5,1143.2
purchase,2024-11-01,overall,ALL,12,any,revenue,all,5,1205.0
purchase,2024-12-01,overall,ALL,0,any,revenue,all,19,568.68
purchase,2024-12-01,overall,ALL,1,any,revenue,all,19,906.05
purchase,2024-12-01,overall,ALL,2,any,revenue,all,19,1295.89
purchase,2024-12-01,overall,ALL,3,any,revenue,all,19,1604.32
purchase,2024-12-01,overall,ALL,4,any,revenue,all,19,1881.21
purchase,2024-12-01,overall,ALL,5,any,revenue,all,19,2129.68
purchase,2024-12-01,overall,ALL,6,any,revenue,all,19,2343.95
purchase,2024-12-01,overall,ALL,7,any,revenue,all,19,2507.26
purchase,2024-12-01,overall,ALL,8,any,revenue,all,19,2789.37
purchase,2024-12-01,overall,ALL,9,any,revenue,all,19,2989.47
purchase,2024-12-01,overall,ALL,10,any,revenue,all,19,3185.11
purchase,2024-12-01,overall,ALL,11,any,revenue,all,19,3370.0
purchase,2024-12-01,overall,ALL,12,any,revenue,all,19,3560.68
purchase,2025-01-01,overall,ALL,0,any,revenue,all,21,542.43
purchase,2025-01-01,overall,ALL,1,any,revenue,all,21,685.57
purchase,2025-01-01,overall,ALL,2,any,revenue,all,21,831.52
purchase,2025-01-01,overall,ALL,3,any,revenue,all,21,900.1
purchase,2025-01-01,overall,ALL,4,any,revenue,all,21,949.57
purchase,2025-01-01,overall,ALL,5,any,revenue,all,21,999.05
purchase,2025-01-01,overall,ALL,6,any,revenue,all,21,1013.29
purchase,2025-01-01,overall,ALL,7,any,revenue,all,21,1067.1
purchase,2025-01-01,overall,ALL,8,any,revenue,all,21,1095.67
purchase,2025-01-01,overall,ALL,9,any,revenue,all,21,1095.67
purchase,2025-01-01,overall,ALL,10,any,revenue,all,21,1114.24
purchase,2025-01-01,overall,ALL,11,any,revenue,all,21,1114.24
purchase,2025-01-01,overall,ALL,12,any,revenue,all,21,1145.69
purchase,2025-02-01,overall,ALL,0,any,revenue,all,16,532.38
purchase,2025-02-01,overall,ALL,1,any,revenue,all,16,882.31
purchase,2025-02-01,overall,ALL,2,any,revenue,all,16,1193.69
purchase,2025-02-01,overall,ALL,3,any,revenue,all,16,1460.81
purchase,2025-02-01,overall,ALL,4,any,revenue,all,16,1677.31
purchase,2025-02-01,overall,ALL,5,any,revenue,all,16,1827.69
purchase,2025-02-01,overall,ALL,6,any,revenue,all,16,2092.25
purchase,2025-02-01,overall,ALL,7,any,revenue,all,16,2246.25
purchase,2025-02-01,overall,ALL,8,any,revenue,all,16,2425.38
purchase,2025-02-01,overall,ALL,9,any,revenue,all,16,2547.0
purchase,2025-02-01,overall,ALL,10,any,revenue,all,16,2700.06
purchase,2025-02-01,overall,ALL,11,any,revenue,all,16,2784.5
purchase,2025-03-01,overall,ALL,0,any,revenue,all,60,494.61
purchase,2025-03-01,overall,ALL,1,any,revenue,all,60,688.2
purchase,2025-03-01,overall,ALL,2,any,revenue,all,60,910.08
purchase,2025-03-01,overall,ALL,3,any,revenue,all,60,1058.49
purchase,2025-03-01,overall,ALL,4,any,revenue,all,60,1219.74
purchase,2025-03-01,overall,ALL,5,any,revenue,all,60,1396.15
purchase,2025-03-01,overall,ALL,6,any,revenue,all,60,1544.17
purchase,2025-03-01,overall,ALL,7,any,revenue,all,60,1679.79
purchase,2025-03-01,overall,ALL,8,any,revenue,all,60,1808.04
purchase,2025-03-01,overall,ALL,9,any,revenue,all,60,1935.05
purchase,2025-03-01,overall,ALL,10,any,revenue,all,60,2024.31
purchase,2025-04-01,overall,ALL,0,any,revenue,all,77,625.42
purchase,2025-04-01,overall,ALL,1,any,revenue,all,77,853.57
purchase,2025-04-01,overall,ALL,2,any,revenue,all,77,1129.04
purchase,2025-04-01,overall,ALL,3,any,revenue,all,77,1456.96
purchase,2025-04-01,overall,ALL,4,any,revenue,all,77,1695.56
purchase,2025-04-01,overall,ALL,5,any,revenue,all,77,1856.19
purchase,2025-04-01,overall,ALL,6,any,revenue,all,77,2065.44
purchase,2025-04-01,overall,ALL,7,any,revenue,all,77,2230.12
purchase,2025-04-01,overall,ALL,8,any,revenue,all,77,2392.98
purchase,2025-04-01,overall,ALL,9,any,revenue,all,77,2559.53
purchase,2025-05-01,overall,ALL,0,any,revenue,all,70,613.48
purchase,2025-05-01,overall,ALL,1,any,revenue,all,70,908.89
purchase,2025-05-01,overall,ALL,2,any,revenue,all,70,1188.58
purchase,2025-05-01,overall,ALL,3,any,revenue,all,70,1444.14
